season,ranker,team,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,made_playoffs
2003,13,Indiana Pacers,82,19905,38.3,87,0.441,5,14.7,0.33899999999999997,33.3,72.3,0.461,22.9,29.9,0.766,13.2,34.5,47.7,25.2,9.2,5.8,15.9,23.8,104.6,TRUE
2003,14,Houston Rockets,82,19930,38.5,87.6,0.44,6,17.2,0.346,32.6,70.5,0.462,21.3,27.7,0.768,13.9,34.8,48.7,20.4,8.1,6.7,17.3,21.7,104.3,FALSE
2003,15,Detroit Pistons,82,19905,37.5,87.2,0.43000000000000005,7.4,20.7,0.358,30.1,66.5,0.452,21.7,28.1,0.771,12.3,34,46.2,22.5,7.7,6.5,15.3,24.3,104.1,TRUE
2003,16,Memphis Grizzlies,82,19930,39.6,87.6,0.452,6.1,16.6,0.365,33.5,71,0.47300000000000003,18.6,25.2,0.739,12.3,32,44.3,24.6,8.5,6.5,16.4,21.8,103.9,FALSE
2003,17,New Orleans Hornets,82,19905,39.3,90.3,0.43500000000000005,5.5,14.5,0.376,33.9,75.8,0.447,19.8,25.8,0.768,14.8,33.4,48.2,24.4,8.9,5.3,16.4,23.9,103.9,TRUE
2003,18,New Jersey Nets,82,19755,38.6,87.4,0.441,4.6,13.8,0.33199999999999996,34,73.6,0.462,22.1,29.1,0.757,13.1,33.5,46.7,25,9.5,5,16.1,23.5,103.8,TRUE
2003,19,Phoenix Suns,82,19805,39.8,89.7,0.443,5.2,15.2,0.34299999999999997,34.6,74.5,0.464,18.9,25.5,0.742,13.9,32.3,46.2,22.8,8.8,5.3,16,23.8,103.7,TRUE
2003,20,Seattle SuperSonics,82,19855,39.6,90.6,0.43700000000000006,6.3,17.7,0.353,33.4,72.9,0.458,18.2,24.4,0.744,13.2,32.7,46,24.4,9.3,4.1,14.9,23.5,103.7,FALSE
2003,21,Washington Wizards,82,19830,38.7,87.8,0.44,3.5,11.1,0.312,35.2,76.6,0.459,22.2,28.5,0.779,12.6,32.9,45.5,22.1,8.5,5.4,15,22.6,103,FALSE
2003,22,Los Angeles Clippers,82,19755,37.7,86.3,0.43700000000000006,5.2,15.7,0.33099999999999996,32.5,70.7,0.46,21.7,29,0.75,13.4,32.7,46.2,21.3,7.6,6.1,17.2,23.7,102.3,FALSE
2003,23,Atlanta Hawks,82,19905,37.9,85.3,0.444,5.3,15.1,0.352,32.6,70.2,0.464,21.1,26.7,0.7929999999999999,12.4,33.9,46.3,22.3,8.1,6.3,18.1,23.6,102.3,FALSE
2003,24,Boston Celtics,82,19830,36,86.7,0.41500000000000004,9.6,28.7,0.33399999999999996,26.4,58,0.455,19.7,26.6,0.742,11.3,32.9,44.2,21,9.6,4,15.3,23.4,101.2,TRUE
2003,25,Toronto Raptors,82,19805,38.4,89.9,0.42700000000000005,5.5,16.1,0.34299999999999997,32.9,73.8,0.446,18.2,25.3,0.718,13.8,31.8,45.6,21.3,8.2,5.3,15.9,23.7,100.5,FALSE
2003,26,Chicago Bulls,82,19930,38.5,86.4,0.445,4.5,12.8,0.35,34,73.6,0.462,18.7,25.9,0.722,12.7,32.7,45.4,22.9,7.8,5.9,17.9,26.1,100.2,FALSE
2003,27,Miami Heat,82,19830,37,89.8,0.41200000000000003,4.8,15.2,0.316,32.2,74.6,0.43200000000000005,17.8,23.3,0.765,13.1,33.9,47,20.7,8.2,4.5,16.1,25.6,96.7,FALSE
2003,28,Cleveland Cavaliers,82,19830,36.7,86.9,0.42200000000000004,3.8,11.5,0.327,32.9,75.3,0.43700000000000006,19.3,25.9,0.747,14.4,32.7,47.1,22,8.2,6.7,19.3,24,96.5,FALSE
